2023 C1E,,,
Hourly Stream Data (Summary),,,
,,,
Dataset Reference Format:,,,
,"[Year of data collection] Stream data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,
,,,
Dataset Header Description,,,
,Column(s)| Variable| Description| [units],,
,1st Column  | DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,
,2nd Column|Discharge -L/s|Stream Discharge instantaneous measurements [L/s],,
,3rd Column |StreamTemp-C| Stream Temperature [C],,
,4th Column |StreamEC-mS/cm| Stream Electrical Conductivity [mS/cm],,
,,,
,,,
,**Note: -6999 denotes missing data,,
,,,
,,,
DateTime,Discharge-L/s,StreamTemp-C,StreamEC-mS/cm
1/1/2023 0:00,9.039707868,1.419,0.061
1/1/2023 1:00,22.54888831,1.269,0.061
1/1/2023 2:00,12.49686347,1.116,0.061
1/1/2023 3:00,15.2053142,0.932,0.061
1/1/2023 4:00,12.64808104,0.725,0.06
1/1/2023 5:00,3.101954432,0.559,0.06
1/1/2023 6:00,15.03784075,0.425,0.06
1/1/2023 7:00,8.666074686,0.324,0.06
1/1/2023 8:00,10.48477896,0.214,0.06
1/1/2023 9:00,13.73485942,0.122,0.06
1/1/2023 10:00,23.39302917,0.113,0.06
1/1/2023 11:00,29.78702295,0.145,0.06
1/1/2023 12:00,16.05810209,0.162,0.06
1/1/2023 13:00,20.31559481,0.145,0.06
1/1/2023 14:00,16.40643577,0.154,0.06
1/1/2023 15:00,21.31476432,0.156,0.06
1/1/2023 16:00,12.19744292,0.168,0.06
1/1/2023 17:00,10.07890539,0.201,0.06
1/1/2023 18:00,12.95353718,0.151,0.06
1/1/2023 19:00,13.26302984,0.103,0.06
1/1/2023 20:00,34.88201281,0.1,0.06
1/1/2023 21:00,19.15150968,0.105,0.06
1/1/2023 22:00,9.681875235,0.113,0.06
1/1/2023 23:00,6.292056881,0.118,0.06
1/2/2023 0:00,2.571635982,0.118,0.06
1/2/2023 1:00,-6999,0.118,0.061
1/2/2023 2:00,7.94487699,0.118,0.061
1/2/2023 3:00,4.164149573,0.118,0.061
1/2/2023 4:00,7.828039427,0.118,0.061
1/2/2023 5:00,16.75890849,0.118,0.061
1/2/2023 6:00,6.927648317,0.118,0.061
1/2/2023 7:00,6.927648317,0.118,0.061
1/2/2023 8:00,1.019429876,0.119,0.061
1/2/2023 9:00,0.98212972,0.119,0.062
1/2/2023 10:00,9.039707868,0.119,0.062
1/2/2023 11:00,12.49686347,0.119,0.062
1/2/2023 12:00,5.788115153,0.119,0.062
1/2/2023 13:00,6.087687639,0.12,0.062
1/2/2023 14:00,1.019429876,0.126,0.062
1/2/2023 15:00,0.438798229,0.13,0.062
1/2/2023 16:00,1.931025721,0.128,0.062
1/2/2023 17:00,2.764070899,0.127,0.062
1/2/2023 18:00,3.764939399,0.121,0.062
1/2/2023 19:00,1.931025721,0.119,0.062
1/2/2023 20:00,1.302269934,0.119,0.062
1/2/2023 21:00,-6999,0.119,0.062
1/2/2023 22:00,-6999,0.119,0.062
1/2/2023 23:00,-6999,0.119,0.062
1/3/2023 0:00,-6999,0.119,0.062
1/3/2023 1:00,-6999,0.119,0.061
1/3/2023 2:00,1.52796273,0.119,0.061
1/3/2023 3:00,1.176365093,0.119,0.061
1/3/2023 4:00,1.825362423,0.119,0.061
1/3/2023 5:00,0.220412231,0.119,0.061
1/3/2023 6:00,-6999,0.119,0.061
1/3/2023 7:00,3.764939399,0.119,0.061
1/3/2023 8:00,0.006986217,0.119,0.061
1/3/2023 9:00,0.271846655,0.119,0.061
1/3/2023 10:00,-6999,0.123,0.061
1/3/2023 11:00,5.401647217,0.128,0.061
1/3/2023 12:00,86.52207654,0.126,0.061
1/3/2023 13:00,38.15376583,0.133,0.061
1/3/2023 14:00,44.881419,0.134,0.061
1/3/2023 15:00,42.47280471,0.135,0.061
1/3/2023 16:00,47.99586278,0.132,0.061
1/3/2023 17:00,141.8938645,0.13,0.06
1/3/2023 18:00,138.4507852,0.128,0.06
1/3/2023 19:00,192.3236347,0.128,0.06
1/3/2023 20:00,147.7364734,0.13,0.06
1/3/2023 21:00,55.25695946,0.127,0.06
1/3/2023 22:00,53.55698318,0.129,0.06
1/3/2023 23:00,87.8460073,0.149,0.06
1/4/2023 0:00,5.887044,0.184,0.06
1/4/2023 1:00,6.81936499,0.2,0.06
1/4/2023 2:00,9.039707868,0.207,0.06
1/4/2023 3:00,11.90203319,0.218,0.06
1/4/2023 4:00,6.395642697,0.228,0.06
1/4/2023 5:00,5.887044,0.239,0.06
1/4/2023 6:00,7.94487699,0.259,0.06
1/4/2023 7:00,7.712158461,0.301,0.061
1/4/2023 8:00,11.46641607,0.338,0.061
1/4/2023 9:00,5.690112735,0.369,0.061
1/4/2023 10:00,14.37818719,0.426,0.061
1/4/2023 11:00,7.147049349,0.489,0.061
1/4/2023 12:00,9.681875235,0.527,0.061
1/4/2023 13:00,4.672743313,0.633,0.061
1/4/2023 14:00,10.76029271,0.733,0.061
1/4/2023 15:00,11.90203319,0.812,0.062
1/4/2023 16:00,13.41929303,0.837,0.062
1/4/2023 17:00,15.03784075,0.885,0.062
1/4/2023 18:00,5.213937987,0.918,0.062
1/4/2023 19:00,12.34665119,0.949,0.062
1/4/2023 20:00,12.19744292,0.974,0.062
1/4/2023 21:00,5.029893591,1.004,0.062
1/4/2023 22:00,15.2053142,1.038,0.062
1/4/2023 23:00,19.53531868,1.069,0.062
1/5/2023 0:00,12.49686347,1.094,0.062
1/5/2023 1:00,12.95353718,1.111,0.062
1/5/2023 2:00,5.788115153,1.132,0.063
1/5/2023 3:00,19.72880379,1.156,0.063
1/5/2023 4:00,6.189405738,1.179,0.063
1/5/2023 5:00,14.0544875,1.203,0.063
1/5/2023 6:00,7.036875913,1.227,0.063
1/5/2023 7:00,21.92702431,1.243,0.063
1/5/2023 8:00,9.681875235,1.265,0.063
1/5/2023 9:00,11.75582913,1.298,0.063
1/5/2023 10:00,3.687760304,1.241,0.063
1/5/2023 11:00,2.764070899,1.316,0.063
1/5/2023 12:00,18.02529234,1.379,0.063
1/5/2023 13:00,10.48477896,1.319,0.063
1/5/2023 14:00,13.89416513,1.364,0.063
1/5/2023 15:00,6.500164808,1.421,0.063
1/5/2023 16:00,11.32320443,1.424,0.063
1/5/2023 17:00,9.166192983,1.413,0.063
1/5/2023 18:00,12.04923735,1.38,0.062
1/5/2023 19:00,23.39302917,1.325,0.062
1/5/2023 20:00,11.03976427,1.278,0.062
1/5/2023 21:00,18.21037576,1.231,0.062
1/5/2023 22:00,18.21037576,1.224,0.061
1/5/2023 23:00,12.49686347,1.255,0.062
