"","K","q"
"1",0.3,97.4228504122497
"2",0.35,83.5053003533569
"3",0.4,73.0671378091873
"4",0.45,64.9485669414998
"5",0.5,58.4537102473498
"6",0.55,53.1397365884998
"7",0.6,48.7114252061248
"8",0.65,44.9643924979614
"9",0.7,41.7526501766784
"10",0.75,38.9691401648999
"11",0.8,36.5335689045936
"12",0.85,34.3845354396175
"13",0.9,32.4742834707499
"14",0.95,30.7651106564999
"15",1,29.2268551236749
"16",1.05,27.8351001177856
"17",1.1,26.5698682942499
